𮬔 #0002eb14
\ue9f2 #0000e9f2
\ue4a1 #0000e4a1
𨵧 #00028d67
𠮊 #00020b8a
\U00036c0f #00036c0f
ᘫ #0000162b
\U00037f5b #00037f5b
𧈧 #00027227
뮤 #0000bba4
𢒝 #0002249d
붵 #0000bdb5
掩 #000063a9
\U00035765 #00035765
𘟔 #000187d4
𝦬 #0001d9ac
𗞻 #000177bb
𦨡 #00026a21
\U0001c45f #0001c45f
𮜢 #0002e722
刢 #00005222
𮀁 #0002e001
廒 #0000fa82
\U000350b7 #000350b7
\U0003284b #0003284b
𘭓 #00018b53
\U0001aaae #0001aaae
𐺌 #00010e8c
迈 #00008fc8
\U00033b53 #00033b53
䟊 #000047ca
\U0003d9de #0003d9de
𫄺 #0002b13a
\U000110cc #000110cc
𦐘 #00026418
\U0001cc72 #0001cc72
𩰰 #00029c30
\U0001628e #0001628e
\U00038154 #00038154
𒓑 #000124d1
\U0001ae93 #0001ae93
𤢇 #00024887
\U0001da93 #0001da93
瑭 #0000746d
𭏫 #0002d3eb
\U0001e236 #0001e236
꽐 #0000af50
\U0003a5ac #0003a5ac
🦓 #0001f993
𱋰 #000312f0
悗 #00006097
𖣈 #000168c8
嵘 #00005d58
\U00013780 #00013780
𐺝 #00010e9d
𰣯 #000308ef
𰢏 #0003088f
眏 #0000770f
\uf068 #0000f068
𗤸 #00017938
\U0003abd4 #0003abd4
\U00037c09 #00037c09
𨊣 #000282a3
酝 #0000915d
\U00011eac #00011eac
\U00033384 #00033384
♈ #00002648
\U0003f9ca #0003f9ca
鑃 #00009443
\U0001abdc #0001abdc
𪰙 #0002ac19
\ue2c5 #0000e2c5
\U0001b4e5 #0001b4e5
\U00038653 #00038653
ᏺ #000013fa
銻 #000092bb
ዔ #000012d4
𨓆 #000284c6
\uf78d #0000f78d
聐 #00008050
𝚌 #0001d68c
𨐟 #0002841f
\U000349e9 #000349e9
𐑌 #0001044c
\U000152ae #000152ae
\U000196e6 #000196e6
𭧢 #0002d9e2
𰥥 #00030965
\U0002f326 #0002f326
𰅉 #00030149
\U000375c8 #000375c8
⅄ #00002144
𝝧 #0001d767
킶 #0000d0b6
\U00019888 #00019888
窦 #00007aa6
\U000108d9 #000108d9
𗯃 #00017bc3
⡇ #00002847
\U0003c939 #0003c939
\U0001a9a8 #0001a9a8
𠲏 #00020c8f
𗵰 #00017d70
\U0001a227 #0001a227
𦽺 #00026f7a
\U00037173 #00037173
\U0001ad35 #0001ad35
닯 #0000b2ef
𘁙 #00018059
𱆶 #000311b6
场 #0000573a
𑒝 #0001149d
\U000352b9 #000352b9
答 #00007b54
\U00016767 #00016767
量 #000091cf
\U00016629 #00016629
ᾊ #00001f8a
𐩭 #00010a6d
𭎒 #0002d392
\U00031cb5 #00031cb5
\U00019439 #00019439
🥸 #0001f978
𗪚 #00017a9a
𠏥 #000203e5
\U0001c0a3 #0001c0a3
𘆝 #0001819d
ᓷ #000014f7
\U00037a58 #00037a58
荫 #0000836b
\U0001bb3d #0001bb3d
삃 #0000c083
\U0003d756 #0003d756
縕 #00007e15
𠖳 #000205b3
𪼦 #0002af26
𧻦 #00027ee6
\U0001ca38 #0001ca38
𮪣 #0002eaa3
\U0003a606 #0003a606
易 #00006613
𡙣 #00021663
\uec5e #0000ec5e
硆 #00007846
𮝪 #0002e76a
𰙀 #00030640
腕 #00008155
𥁯 #0002506f
\U00031505 #00031505
ỵ #00001ef5
\U000355b6 #000355b6
\U0003ae4e #0003ae4e
\U00033fda #00033fda
\U00015b62 #00015b62
𢷶 #00022df6
\uf6d6 #0000f6d6
ꏬ #0000a3ec
\U0003adfd #0003adfd
𭺬 #0002deac
\U000333f6 #000333f6
뚦 #0000b6a6
𫹋 #0002be4b
摰 #00006470
\U0003682d #0003682d
殊 #00006b8a
𧎐 #00027390
\U00037ba9 #00037ba9
𞤄 #0001e904
\U000166f2 #000166f2
\U00038107 #00038107
\U00010ecb #00010ecb
Ì #000000cc
\U000388c2 #000388c2
篏 #00007bcf
\U00033ae8 #00033ae8
𪈭 #0002a22d
𩘿 #0002963f
\U0001a94b #0001a94b
行 #0000884c
\U0001cf04 #0001cf04
𡊶 #000212b6
𑇢 #000111e2
𩧯 #000299ef
\U00013f3b #00013f3b
걛 #0000ac5b
\U0001262b #0001262b
𓄯 #0001312f
\U0002ffa1 #0002ffa1
𝜽 #0001d73d
≥ #00002265
𝘍 #0001d60d
𨿮 #00028fee
\U0003be64 #0003be64
\U00039c6b #00039c6b
흠 #0000d760
𑗌 #000115cc
\U00038917 #00038917
\U000157c9 #000157c9
𠛄 #000206c4
𠶼 #00020dbc
㍝ #0000335d
\U00010cb6 #00010cb6
𬰗 #0002cc17
\U000348d9 #000348d9
𤥉 #00024949
\U0001fe9c #0001fe9c
\uf1d2 #0000f1d2
\U0001aade #0001aade
\U00013466 #00013466
耷 #00008037
\U000338d4 #000338d4
蘍 #0000860d
ᙉ #00001649
ꍍ #0000a34d
𣛤 #000236e4
𨌈 #00028308
𥚢 #000256a2
\U00035b78 #00035b78
ΐ #00001fd3
㻍 #00003ecd
更 #000066f4
\U00011ced #00011ced
\U0003fcbf #0003fcbf
𧧝 #000279dd
힙 #0000d799
\U0001a649 #0001a649
\U0002fac3 #0002fac3
\U00035985 #00035985
\U0003ec91 #0003ec91
粉 #00007c89
\U0003b4fb #0003b4fb
䪋 #00004a8b
ⶠ #00002da0
矠 #000077e0
𪧥 #0002a9e5
𑅖 #00011156
噢 #00005662
\U00038ab2 #00038ab2
䥃 #00004943
𢦢 #000229a2
\U00036cc4 #00036cc4
\U00012de2 #00012de2
\U000387bb #000387bb
𑥆 #00011946
\U0003622a #0003622a
뀬 #0000b02c
啐 #00005550
趌 #00008d8c
َ #0000064e
老 #00008001
🤺 #0001f93a
\U00033d99 #00033d99
𐕑 #00010551
랮 #0000b7ae
\U000378c2 #000378c2
泍 #0002f8fd
\U0001b55b #0001b55b
𬘣 #0002c623
\U0003ce83 #0003ce83
𨤩 #00028929
\U0001a7d3 #0001a7d3
\U0001a3ad #0001a3ad
𢶫 #00022dab
\U00031810 #00031810
\U00016aa5 #00016aa5
\U0003ff14 #0003ff14
𡼓 #00021f13
\U000107db #000107db
𭺾 #0002debe
桑 #00006851
ト #000030c8
𧹋 #00027e4b
릷 #0000b9b7
\U0001dc84 #0001dc84
\U0003c5e1 #0003c5e1
𩭾 #00029b7e
𧾜 #00027f9c
𪮾 #0002abbe
𨇚 #000281da
\U0001954a #0001954a
𭷰 #0002ddf0
\U0001b655 #0001b655
\U00039ee5 #00039ee5
𖫣 #00016ae3
\U00014104 #00014104
\U000340cf #000340cf
态 #00006001
\u245c #0000245c
\U00039ef8 #00039ef8
꺵 #0000aeb5
\U0001c9c6 #0001c9c6
带 #00005e26
\U00034162 #00034162
\U0003b066 #0003b066
\ua7dc #0000a7dc
\U000191c4 #000191c4
\U00035d12 #00035d12
𣛋 #000236cb
\U00019b07 #00019b07
\U0001ea04 #0001ea04
谬 #00008c2c
ᮉ #00001b89
𫺩 #0002bea9
災 #0000707d
\U00014ac3 #00014ac3
\uf62c #0000f62c
\U0003c22a #0003c22a
\U000339c2 #000339c2
\U0003ec34 #0003ec34
鯄 #00009bc4
\U0001d29b #0001d29b
î #000000ee
𔓙 #000144d9
𠳳 #00020cf3
挡 #00006321
𫐮 #0002b42e
俐 #00004fd0
𑨂 #00011a02
𑤆 #00011906
\U00032448 #00032448
\U0001ccfe #0001ccfe
\U00016128 #00016128
撰 #000064b0
\U000322e8 #000322e8
𭂆 #0002d086
𢈠 #00022220
\U000368a9 #000368a9
𐜮 #0001072e
\U0001a38f #0001a38f
\U0003a1f9 #0003a1f9
䟗 #000047d7
\U0002f24a #0002f24a
𭒮 #0002d4ae
𧟯 #000277ef
𡮳 #00021bb3
\U000142a6 #000142a6
眣 #00007723
𮤙 #0002e919
𰣸 #000308f8
舮 #0000822e
\U0003b9cf #0003b9cf
\U00013bdd #00013bdd
𦥹 #00026979
𰼷 #00030f37
\U0003db78 #0003db78
🖖 #0001f596
𠿼 #00020ffc
\U00037520 #00037520
\U00036de8 #00036de8
뢔 #0000b894
𠲑 #00020c91
𧂪 #000270aa
𪇖 #0002a1d6
ᲈ #00001c88
𰊊 #0003028a
\U000159c4 #000159c4
\U00019001 #00019001
\U0003d218 #0003d218
𭻄 #0002dec4
\U00018cf4 #00018cf4
\U00037da8 #00037da8
ý #000000fd
섢 #0000c122
姑 #000059d1
\U000156ab #000156ab
\U0003438c #0003438c
\U0003672b #0003672b
\U00036731 #00036731
吓 #00005413
🍬 #0001f36c
ﾳ #0000ffb3
ㄈ #00003108
𞹔 #0001ee54
縸 #00007e38
\uf613 #0000f613
𨷘 #00028dd8
⛋ #000026cb
ꎡ #0000a3a1
配 #0000914d
𣡶 #00023876
𧚗 #00027697
\U00032d71 #00032d71
𰖡 #000305a1
𪇧 #0002a1e7
틚 #0000d2da
𣣣 #000238e3
\U0003c7f7 #0003c7f7
\U0002ff40 #0002ff40
𧸫 #00027e2b
\U0001999c #0001999c
\U0003ab16 #0003ab16
\U0001e5c3 #0001e5c3
췜 #0000cddc
ઓ #00000a93
睹 #00007779
瘩 #00007629
◿ #000025ff
\U0003edc9 #0003edc9
磂 #000078c2
শ #000009b6
𪻥 #0002aee5
诌 #00008bcc
𱂬 #000310ac
\U00036d9f #00036d9f
𤡠 #00024860
\U00037acf #00037acf
\U00037c01 #00037c01
\U0003ec75 #0003ec75
\U000383b1 #000383b1
\U0001a38e #0001a38e
\U0002fbc7 #0002fbc7
噥 #00005665
𞴑 #0001ed11
🨢 #0001fa22
𱃠 #000310e0
𐪖 #00010a96
\uf007 #0000f007
\U00033974 #00033974
쫈 #0000cac8
𤱀 #00024c40
𡷱 #00021df1
𗌅 #00017305
\U00037112 #00037112
蒈 #00008488
弶 #00005f36
愷 #00006137
\uf251 #0000f251
𩝝 #0002975d
鐾 #0000943e
夢 #00005922
ೖ #00000cd6
\U0001b319 #0001b319
\U000372c9 #000372c9
찓 #0000cc13
\U0001e98f #0001e98f
\U00019dd1 #00019dd1
\U0001497f #0001497f
𰝪 #0003076a
\U0001c61a #0001c61a
𭾰 #0002dfb0
\U0001ef0b #0001ef0b
\U0003e236 #0003e236
\U00018ea6 #00018ea6
\U0001a03e #0001a03e
𱂻 #000310bb
𨄊 #0002810a
⛯ #000026ef
\U0003e3c8 #0003e3c8
\U0002f324 #0002f324
㈸ #00003238
\U0001a55c #0001a55c
\U0001b30f #0001b30f
𓌔 #00013314
\U00039da1 #00039da1
𦟃 #000267c3
듇 #0000b4c7
邏 #0000908f
𫹾 #0002be7e
\U00011cee #00011cee
鴂 #00009d02
𡋙 #000212d9
粄 #00007c84
琨 #00007428
\U00015ad7 #00015ad7
\U0001e2b6 #0001e2b6
\U00039b24 #00039b24
怡 #00006021
𐤮 #0001092e
\U0001dc3f #0001dc3f
𪍠 #0002a360
ᷚ #00001dda
㗺 #000035fa
\U00013753 #00013753
\U00037b1b #00037b1b
䈙 #00004219
t #00000074
🇮 #0001f1ee
\U0003cc93 #0003cc93
\U000361e3 #000361e3
\ue6f5 #0000e6f5
\U000352d5 #000352d5
\uf3b1 #0000f3b1
\U0003eafe #0003eafe
𓁨 #00013068
\U000167ae #000167ae
賝 #00008cdd
疑 #00007591
\U00036f93 #00036f93
𤟀 #000247c0
𫰙 #0002bc19
尽 #00005c3d
𠗺 #000205fa
𥲯 #00025caf
鋿 #000092ff
𢝙 #00022759
\U00037afe #00037afe
𗤱 #00017931
𰘬 #0003062c
㖖 #00003596
鲻 #00009cbb
\U00014091 #00014091
𰵽 #00030d7d
\U00015f53 #00015f53
𬙠 #0002c660
𭒎 #0002d48e
\uf248 #0000f248
𨹕 #00028e55
몹 #0000bab9
픊 #0000d50a
𬛫 #0002c6eb
挑 #00006311
𬋵 #0002c2f5
𑐓 #00011413
\U0003fd19 #0003fd19
㋥ #000032e5
\U000367b4 #000367b4
嵫 #0002f87f
㩶 #00003a76
८ #0000096e
目 #000076ee
\ue21e #0000e21e
\U00016daf #00016daf
癧 #00007667
\U000316af #000316af
ẫ #00001eab
\U00033eee #00033eee
𥾫 #00025fab
𦘩 #00026629
溴 #00006eb4
\U000317bc #000317bc
\U00031515 #00031515
䐉 #00004409
𭾯 #0002dfaf
\U0002f441 #0002f441
\U00016ac1 #00016ac1
𬽛 #0002cf5b
\U00019080 #00019080
\U00031fc7 #00031fc7
\U00019aa5 #00019aa5
每 #00006bcf
愿 #0000613f
灵 #00007075
\U00012a9a #00012a9a
犻 #000072bb
𝙣 #0001d663
\U000386ba #000386ba
\U00014e71 #00014e71
\U00039670 #00039670
𭙲 #0002d672
칃 #0000ce43
没 #00006ca1
𫻉 #0002bec9
𥍲 #00025372
𗿓 #00017fd3
\U0001aa58 #0001aa58
\U00034a87 #00034a87
𝑮 #0001d46e
𬽩 #0002cf69
反 #000053cd
ᨂ #00001a02
\U0003ec7f #0003ec7f
\U00033e4a #00033e4a
\U000369e8 #000369e8
ꩤ #0000aa64
\U000360ca #000360ca
𭌵 #0002d335
㝔 #00003754
\U0001abaf #0001abaf
𩇟 #000291df
\U00019c51 #00019c51
鶸 #00009db8
陷 #00009677
\U0002ee4e #0002ee4e
\U0003c843 #0003c843
𑋖 #000112d6
\U0003a815 #0003a815
𬖕 #0002c595
땶 #0000b576
𩥠 #00029960
ཆ #00000f46
评 #00008bc4
\U0001e754 #0001e754
𦕣 #00026563
\U00019adb #00019adb
\U00019825 #00019825
席 #00005e2d
\U00039ded #00039ded
\U0001cb6f #0001cb6f
ᆨ #000011a8
⊓ #00002293
\U00033743 #00033743
\U0003db80 #0003db80
\U0001dcd0 #0001dcd0
\U0003ede2 #0003ede2
\U0002fc83 #0002fc83
\U0001e554 #0001e554
𮏪 #0002e3ea
\U0003ffa9 #0003ffa9
🢡 #0001f8a1
\U0002fbec #0002fbec
\U0001c84c #0001c84c
\ufff4 #0000fff4
澘 #00006f98
\U00012d62 #00012d62
ׇ #000005c7
𧲩 #00027ca9
𰑪 #0003046a
\U000138fc #000138fc
\U00034deb #00034deb
𠶔 #00020d94
⨾ #00002a3e
𦖅 #00026585
𣆥 #000231a5
𪑞 #0002a45e
𧯞 #00027bde
项 #00009879
的 #00007684
\U0003bd66 #0003bd66
𠬾 #00020b3e
ᣬ #000018ec
\U0003cdb5 #0003cdb5
𗱕 #00017c55
\U0001c696 #0001c696
\U00015938 #00015938
쳄 #0000ccc4
\U000395fa #000395fa
䑗 #00004457
𡎎 #0002138e
𢓶 #000224f6
𘳆 #00018cc6
𡙽 #0002167d
𫟐 #0002b7d0
澚 #00006f9a
\U0003cc61 #0003cc61
\U000392cb #000392cb
𣬴 #00023b34
\U0003347d #0003347d
쑟 #0000c45f
蕰 #00008570
𢪏 #00022a8f
𧓆 #000274c6
䕛 #0000455b
☯ #0000262f
\U00014897 #00014897
𗻰 #00017ef0
𨘒 #00028612
𛈑 #0001b211
繯 #00007e6f
\U0002f4ed #0002f4ed
訔 #00008a14
\U00013e83 #00013e83
蝆 #00008746
\U0003d558 #0003d558
䌛 #0000431b
𠛉 #000206c9
\U00033e51 #00033e51
쾾 #0000cfbe
浪 #00006d6a
顶 #00009876
\U0001962b #0001962b
\U0003ced8 #0003ced8
孙 #00005b59
\U0003cbf4 #0003cbf4
\U00038e39 #00038e39
𗍱 #00017371
\U00012604 #00012604
𖡮 #0001686e
\U00039087 #00039087
䐜 #0000441c
\U0003e891 #0003e891
𬌭 #0002c32d
\U00015f22 #00015f22
\U000323c2 #000323c2
\U0003cad1 #0003cad1
焢 #00007122
\U00033a94 #00033a94
𪇶 #0002a1f6
ꎂ #0000a382
\U00035540 #00035540
\U00032441 #00032441
𮑛 #0002e45b
高 #00009ad8
𫛠 #0002b6e0
\U0003390a #0003390a
𮀦 #0002e026
┟ #0000251f
\U0001d3f3 #0001d3f3
鸆 #00009e06
\U0003566b #0003566b
\U0003b0e2 #0003b0e2
\U00011755 #00011755
\U000372dc #000372dc
갳 #0000ac33
𩷴 #00029df4
\ue886 #0000e886
\U0001eb65 #0001eb65
\U000164dc #000164dc
𫦇 #0002b987
𡘥 #00021625
\U0002ee7f #0002ee7f
𭏛 #0002d3db
𮣘 #0002e8d8
欠 #00006b20
亨 #00004ea8
\U0002faf8 #0002faf8
霒 #00009712
䲛 #00004c9b
\U0001ca3d #0001ca3d
é #000000e9
盖 #000076d6
𰐔 #00030414
餈 #00009908
\U0001a957 #0001a957
线 #00007ebf
\U00033e5e #00033e5e
𪚶 #0002a6b6
𣦥 #000239a5
் #00000bcd
惙 #000060d9
综 #00007efc
遼 #0000907c
㊈ #00003288
\U00012f55 #00012f55
\U0001c095 #0001c095
𥪱 #00025ab1
\U00033b19 #00033b19
𭲀 #0002dc80
𤀰 #00024030
䰪 #00004c2a
\U000315fb #000315fb
龗 #00009f97
\U0003ba58 #0003ba58
ឞ #0000179e
क़ #00000958
\U00019aa2 #00019aa2
𧝬 #0002776c
\U0002f7d2 #0002f7d2
\U00033c75 #00033c75
𦺠 #00026ea0
𬍿 #0002c37f
\U0003c7e7 #0003c7e7
\U000320da #000320da
\U00037deb #00037deb
速 #0000901f
顾 #0000987e
\U00032731 #00032731
𦧹 #000269f9
𫙬 #0002b66c
祝 #0000fa51
𡩃 #00021a43
߽ #000007fd
𭐎 #0002d40e
闻 #000095fb
🬌 #0001fb0c
ᅏ #0000114f
𞡄 #0001e844
졻 #0000c87b
\ued8c #0000ed8c
\U00039779 #00039779
\U0003420b #0003420b
𣽼 #00023f7c
\U0003db27 #0003db27
\U0002f2e2 #0002f2e2
\U00034d20 #00034d20
𪠎 #0002a80e
\U0003a882 #0003a882
试 #00008bd5
\U0003a95a #0003a95a
\U0003d1e6 #0003d1e6
\U00012f24 #00012f24
𥘨 #00025628
\U0003a2c1 #0003a2c1
采 #000091c7
\U00015dfe #00015dfe
ﶿ #0000fdbf
\U0003d921 #0003d921
\U00034c88 #00034c88
䈯 #0000422f
\U00037ab7 #00037ab7
膨 #000081a8
\U0003a986 #0003a986
𪘍 #0002a60d
䩯 #00004a6f
鵵 #00009d75
𓄬 #0001312c
𡃱 #000210f1
𤷭 #00024ded
\U0001c7c8 #0001c7c8
𱀇 #00031007
\uebf7 #0000ebf7
\U000381ac #000381ac
\U00019859 #00019859
𗌘 #00017318
\U0001e0ed #0001e0ed
\U0003de0c #0003de0c
\U000157c1 #000157c1
𢒤 #000224a4
╥ #00002565
虽 #0000867d
\U0001c237 #0001c237
\U0003d3f2 #0003d3f2
费 #00008d39
𩳹 #00029cf9
漻 #00006f3b
抭 #000062ad
𘃬 #000180ec
ꓺ #0000a4fa
ᚘ #00001698
\U00031a68 #00031a68
𭍹 #0002d379
\U0001ab4a #0001ab4a
\U0003f03f #0003f03f
\U000126dc #000126dc
\U0002ed4e #0002ed4e
醈 #00009188
\U000331f7 #000331f7
챨 #0000cc68
\ue455 #0000e455
𥺤 #00025ea4
𐭉 #00010b49
鰟 #00009c1f
𗊌 #0001728c
砑 #00007811
Ｘ #0000ff38
ﳕ #0000fcd5
\U00037c65 #00037c65
䭕 #00004b55
🪤 #0001faa4
𧸽 #00027e3d
𗚠 #000176a0
甞 #0000751e
節 #00007bc0
常 #00005e38
闪 #000095ea
\U00031dfb #00031dfb
\U00014eca #00014eca
ℏ #0000210f
\U0003a80d #0003a80d
犹 #000072b9
𦓗 #000264d7
𪭋 #0002ab4b
\U000350ac #000350ac
㈬ #0000322c
𣐽 #0002343d
𰋛 #000302db
\U0003a740 #0003a740
𧻡 #00027ee1
䍦 #00004366
\U0001b747 #0001b747
🎅 #0001f385
\U0001c407 #0001c407
뇶 #0000b1f6
\U0003885b #0003885b
腟 #0000815f
\U0003942c #0003942c
\U000367e0 #000367e0
🧁 #0001f9c1
𓆄 #00013184
㸯 #00003e2f
床 #00005e8a
𣨰 #00023a30
𘑡 #00018461
𑆘 #00011198
숇 #0000c207
𬬏 #0002cb0f
\U00038feb #00038feb
\U0001caaf #0001caaf
𥡩 #00025869
\U0001acd2 #0001acd2
\U0001fd7d #0001fd7d
罕 #00007f55
ຕ #00000e95
ᒒ #00001492
\U0003e35e #0003e35e
𞠉 #0001e809
玉 #00007389
\ue50c #0000e50c
Ὁ #00001f49
𢇎 #000221ce
𥌘 #00025318
朋 #0000670b
\U00036710 #00036710
𐰳 #00010c33
𧃮 #000270ee
緤 #00007de4
\U0001bd13 #0001bd13
\U0003ee4e #0003ee4e
𐙣 #00010663
诖 #00008bd6
ྒྷ #00000f93
\U0001baa2 #0001baa2
\U00031b5a #00031b5a
\U0003277b #0003277b
\U0001f8ed #0001f8ed
\U00012b85 #00012b85
\U0003aaa7 #0003aaa7
ᦍ #0000198d
\U0001356b #0001356b
\U0002fc7f #0002fc7f
𫌲 #0002b332
▏ #0000258f
𪲦 #0002aca6
뒧 #0000b4a7
𣬼 #00023b3c
ᛡ #000016e1
ᡇ #00001847
頜 #0000981c
\U0003c2f4 #0003c2f4
魢 #00009b62
\U00036fa1 #00036fa1
\U0003fcdd #0003fcdd
𥁱 #00025071
㢊 #0000388a
\U0002f6c4 #0002f6c4
\U00038dcd #00038dcd
\U000321a9 #000321a9
𗧆 #000179c6
\U00035a20 #00035a20
\U00033bcd #00033bcd
\U0001afa8 #0001afa8
𦊸 #000262b8
衠 #00008860
𠊫 #000202ab
\U000125b7 #000125b7
\U00037ae1 #00037ae1
\U0003f89e #0003f89e
𥳂 #00025cc2
𝄂 #0001d102
\U00033ad3 #00033ad3
\U0001b8c8 #0001b8c8
\U0003d7d7 #0003d7d7
\U0003aa01 #0003aa01
画 #0000753b
🜡 #0001f721
𡵫 #00021d6b
\U000339c5 #000339c5
𪁕 #0002a055
🨗 #0001fa17
斑 #00006591
𤾩 #00024fa9
𠄈 #00020108
𪤔 #0002a914
풼 #0000d4bc
㋷ #000032f7
냌 #0000b0cc
求 #00006c42
쌙 #0000c319
𮀵 #0002e035
𤬿 #00024b3f
𥼿 #00025f3f
\U00033611 #00033611
곓 #0000acd3
𧍑 #00027351
㹂 #00003e42
𤛑 #000246d1
交 #00004ea4
齐 #00009f50
\U000370a0 #000370a0
\U000313d0 #000313d0
𩟘 #000297d8
𠙐 #00020650
𖨶 #00016a36
澜 #00006f9c
𥬛 #00025b1b
\U000398c7 #000398c7
\U0001a4cf #0001a4cf
🍽 #0001f37d
\U0003db68 #0003db68
\U00036ea8 #00036ea8
𪜏 #0002a70f
𝧯 #0001d9ef
쇤 #0000c1e4
\U0001dc61 #0001dc61
\uf828 #0000f828
\U0003c59b #0003c59b
쾟 #0000cf9f
\U000190a1 #000190a1
\U0001ad53 #0001ad53
𩺨 #00029ea8
𭨬 #0002da2c
ᔆ #00001506
\U0002f1a1 #0002f1a1
\U0001dc7c #0001dc7c
\U00019d43 #00019d43
ᗲ #000015f2
睛 #0000775b
𭧾 #0002d9fe
バ #000030d0
㲡 #00003ca1
\U0001ac2e #0001ac2e
\U0001acba #0001acba
\U00012562 #00012562
坐 #00005750
𠠅 #00020805
\U0003c19d #0003c19d
\U0001aa1c #0001aa1c
\U00013aad #00013aad
맮 #0000b9ee
鰕 #00009c15
\U0003c912 #0003c912
\U0003ef6c #0003ef6c
\U0003809c #0003809c
\U0003a526 #0003a526
툇 #0000d207
𓅋 #0001314b
硫 #0000f9ce
\U0003606f #0003606f
癵 #00007675
𬋷 #0002c2f7
\U00035605 #00035605
\U0001097b #0001097b
\U0003c688 #0003c688
𰵚 #00030d5a
孻 #00005b7b
𗾢 #00017fa2
序 #00005e8f
\U00038d40 #00038d40
𛉿 #0001b27f
๘ #00000e58
\U0003f235 #0003f235
\U0003fd59 #0003fd59
𡍫 #0002136b
𐡦 #00010866
턜 #0000d11c
\U00016557 #00016557
\U00033ff1 #00033ff1
\U0001ca81 #0001ca81
擞 #000064de
𰧍 #000309cd
\U0003f249 #0003f249
\U00034bb8 #00034bb8
𗄟 #0001711f
\U0003b9f1 #0003b9f1
\U0003c237 #0003c237
\U00038ad0 #00038ad0
\U0002f1e5 #0002f1e5
𪐞 #0002a41e
। #00000964
\U0003fbd4 #0003fbd4
壖 #000058d6
𘦵 #000189b5
\U00039592 #00039592
⋘ #000022d8
\U0003d486 #0003d486
̓ #00000313
匪 #0000532a
\ue8fd #0000e8fd
\U0001dd85 #0001dd85
𩴿 #00029d3f
\U0002fd9a #0002fd9a
谨 #00008c28
\U00035da3 #00035da3
𧚵 #000276b5
周 #00005468
\U0003e6df #0003e6df
\U0002ed0c #0002ed0c
唳 #00005533
𧃪 #000270ea
\U0001c663 #0001c663
𫌬 #0002b32c
\U0002f36d #0002f36d
\U0003c367 #0003c367
\ue490 #0000e490
垖 #00005796
\U0003bfff #0003bfff
糴 #00007cf4
𛊺 #0001b2ba
厹 #000053b9
縠 #00007e20
\U0003e070 #0003e070
\U0003425f #0003425f
沂 #00006c82
ꚻ #0000a6bb
ヌ #000030cc
\U0003fbff #0003fbff
𗶥 #00017da5
𧑝 #0002745d
𬃹 #0002c0f9
ꋉ #0000a2c9
\U00010f2a #00010f2a
𡌮 #0002132e
\U0003d09a #0003d09a
ṗ #00001e57
𧲂 #00027c82
䠍 #0000480d
𫍜 #0002b35c
\uf074 #0000f074
溶 #00006eb6
𒀀 #00012000
𨦚 #0002899a
\U00032aa1 #00032aa1
\U0003b30a #0003b30a
\U0001b7e5 #0001b7e5
儻 #0000513b
𗙷 #00017677
𖧷 #000169f7
澳 #00006fb3
ㆻ #000031bb
\U00012d61 #00012d61
𰌰 #00030330
𥋧 #000252e7
𡀗 #00021017
\U00032246 #00032246
𗑪 #0001746a
𣪈 #00023a88
\U0003d608 #0003d608
\U0001b990 #0001b990
\U00033fa2 #00033fa2
\U0002f0c9 #0002f0c9
\ueacf #0000eacf
葸 #00008478
\U0002ef56 #0002ef56
\U000397ca #000397ca
𨐄 #00028404
\U0001589b #0001589b
\U0001a07a #0001a07a
\U00012db6 #00012db6
\U0003eaf9 #0003eaf9
\U00036b2f #00036b2f
𤓦 #000244e6
\U0003f36d #0003f36d
헞 #0000d5de
\U0001e601 #0001e601
\U0003ff27 #0003ff27
\U00036b0e #00036b0e
䂹 #000040b9
𩰾 #00029c3e
\U000155da #000155da
냇 #0000b0c7
\U0001e471 #0001e471
\U00037651 #00037651
\U00037600 #00037600
门 #000095e8
\U00033309 #00033309
\U0003c0b1 #0003c0b1
叫 #000053eb
\U0003c11d #0003c11d
𠉕 #00020255
\uf144 #0000f144
𝢎 #0001d88e
𞡮 #0001e86e
\U000364d9 #000364d9
𦸤 #00026e24
𧽘 #00027f58
顋 #0000984b
檴 #00006ab4
\U0001a186 #0001a186
\U000162e2 #000162e2
\U00039b29 #00039b29
\U0002ee53 #0002ee53
𬲘 #0002cc98
䵟 #00004d5f
\U0003a918 #0003a918
\U0003ff22 #0003ff22
\U0003ca0e #0003ca0e
\U00019eae #00019eae
𦄢 #00026122
\u2459 #00002459
\U00014eda #00014eda
\U000373fa #000373fa
\U000349ff #000349ff
𧭛 #00027b5b
安 #00005b89
𤠟 #0002481f
\U00013ac1 #00013ac1
\U0003bb9d #0003bb9d
\U0001fc88 #0001fc88
𐰞 #00010c1e
慕 #00006155
𤒥 #000244a5
ố #00001ed1
卉 #0002f82c
餧 #00009927
ણ #00000aa3
\U0003e558 #0003e558
躭 #00008ead
悭 #000060ad
𣐍 #0002340d
堌 #0000580c
𬔸 #0002c538
𢆑 #00022191
嘈 #00005608
\U00013979 #00013979
𧸱 #00027e31
𬋂 #0002c2c2
𐾳 #00010fb3
䲟 #00004c9f
\U00035167 #00035167
𗗝 #000175dd
暮 #000066ae
具 #00005177
\U000368ef #000368ef
\U00014feb #00014feb
\U0003711c #0003711c
穱 #00007a71
毛 #00006bdb
깸 #0000ae78
ή #000003ae
𝃤 #0001d0e4
