届 #00005c4a
桥 #00006865
𡬯 #00021b2f
富 #00005bcc
𠨐 #00020a10
涯 #00006daf
𧬞 #00027b1e
⡼ #0000287c
\U00036056 #00036056
\U0003351e #0003351e
\uecb6 #0000ecb6
\U0001c81b #0001c81b
𤗮 #000245ee
\U00039848 #00039848
\U00014999 #00014999
\U0001548c #0001548c
\uebb5 #0000ebb5
米 #00007c73
\U0003ac0c #0003ac0c
\U0003317b #0003317b
\U00032a67 #00032a67
\U0003e3c9 #0003e3c9
\U00032208 #00032208
𠊗 #00020297
\U0003834a #0003834a
\U00038318 #00038318
正 #00006b63
𤲷 #00024cb7
\U00018dce #00018dce
\U0003a7b1 #0003a7b1
\U00038e8b #00038e8b
购 #00008d2d
靖 #00009756
ᜲ #00001732
𩉸 #00029278
𤚧 #000246a7
\U000191e7 #000191e7
🙁 #0001f641
\U00011b4a #00011b4a
\U0001a447 #0001a447
𑘪 #0001162a
\U0002edb7 #0002edb7
\U000117b5 #000117b5
\U0003f2ae #0003f2ae
\U0003a819 #0003a819
𪮮 #0002abae
\U0001e5eb #0001e5eb
\U0003b496 #0003b496
𱃟 #000310df
\U000151bb #000151bb
𝆠 #0001d1a0
頩 #00009829
\U0003817e #0003817e
𤏉 #000243c9
\U00013e2e #00013e2e
𪟆 #0002a7c6
𪖯 #0002a5af
𨾔 #00028f94
𠈡 #00020221
痥 #000075e5
𧆹 #000271b9
𡘆 #00021606
畕 #00007555
囪 #000056ea
𠐛 #0002041b
𖹽 #00016e7d
𢭱 #00022b71
拸 #000062f8
䰏 #00004c0f
\ueab7 #0000eab7
\U00031875 #00031875
𦉲 #00026272
\U0001cca1 #0001cca1
\U0003d491 #0003d491
\U0001a51d #0001a51d
შ #000010e8
𪵺 #0002ad7a
뙦 #0000b666
\U0003f9e5 #0003f9e5
\U0001513f #0001513f
𫃠 #0002b0e0
滩 #00006ee9
𗥸 #00017978
\U0003ada0 #0003ada0
\ueadf #0000eadf
\U0003ad73 #0003ad73
𦍾 #0002637e
ر #00000631
眠 #00007720
伴 #00004f34
퍢 #0000d362
𡝄 #00021744
𩽗 #00029f57
𦷫 #00026deb
\U0003cab6 #0003cab6
㫂 #00003ac2
\U0003894c #0003894c
\U0002f546 #0002f546
既 #0000fa42
\U0003f6f1 #0003f6f1
\U00012baa #00012baa
\U00037629 #00037629
\U000159e6 #000159e6
𦫑 #00026ad1
𪀖 #0002a016
\U0003af5a #0003af5a
杀 #00006740
䖄 #00004584
㐪 #0000342a
\U0003ed6e #0003ed6e
\U00012cad #00012cad
\U0001c375 #0001c375
𬜬 #0002c72c
𫥲 #0002b972
\U0001975c #0001975c
ẩ #00001ea9
ڥ #000006a5
𥩝 #00025a5d
𦸥 #00026e25
𐐲 #00010432
\U0003ffd1 #0003ffd1
\U0003e5f5 #0003e5f5
꾖 #0000af96
𦯱 #00026bf1
𨐃 #00028403
\ue704 #0000e704
ᐐ #00001410
循 #00005faa
\U00039867 #00039867
\U00031747 #00031747
\U00019eb7 #00019eb7
솆 #0000c186
\U0003a2e8 #0003a2e8
𘊸 #000182b8
\U0001e092 #0001e092
솠 #0000c1a0
ﻈ #0000fec8
爇 #00007207
𝗗 #0001d5d7
姛 #000059db
𤇌 #000241cc
𩌀 #00029300
瓢 #000074e2
殊 #00006b8a
\U0001c449 #0001c449
췜 #0000cddc
𪗊 #0002a5ca
𪝈 #0002a748
\U0003dfc2 #0003dfc2
\U0001b371 #0001b371
\U0003d94f #0003d94f
\U0001b9b8 #0001b9b8
𥒸 #000254b8
\U00010072 #00010072
\U00032c84 #00032c84
ꁢ #0000a062
𧸰 #00027e30
慂 #00006142
\U0001c562 #0001c562
\U000135d3 #000135d3
𡘱 #00021631
𦾇 #00026f87
\U0001e1dd #0001e1dd
环 #000073af
𣬛 #00023b1b
𢭽 #00022b7d
𢁝 #0002205d
摱 #00006471
𮍭 #0002e36d
ᣢ #000018e2
\U00014ea6 #00014ea6
\U0003ffba #0003ffba
𫽩 #0002bf69
𰷹 #00030df9
\U0003b5f2 #0003b5f2
⍁ #00002341
𮑽 #0002e47d
𪦲 #0002a9b2
\U0001e3be #0001e3be
𦁌 #0002604c
\uedff #0000edff
垿 #000057bf
ㅡ #00003161
\U0003a3f7 #0003a3f7
횺 #0000d6ba
\U0001c858 #0001c858
曨 #000066e8
煉 #0000f993
🔸 #0001f538
𧌹 #00027339
带 #00005e26
퇯 #0000d1ef
\U00031a2d #00031a2d
\U0003a636 #0003a636
\uf4be #0000f4be
\U00011991 #00011991
ꈏ #0000a20f
𣱨 #00023c68
𦸜 #00026e1c
𢇸 #000221f8
𦲈 #00026c88
訫 #00008a2b
𝦥 #0001d9a5
𫶛 #0002bd9b
\U00031df8 #00031df8
𐺩 #00010ea9
\U000321b1 #000321b1
𡽬 #00021f6c
\U0001483a #0001483a
\U00035427 #00035427
\U00035241 #00035241
𣂫 #000230ab
\U00012dbf #00012dbf
\U0003f46b #0003f46b
腊 #0000814a
\U000116f8 #000116f8
\U0001c1f8 #0001c1f8
𤇉 #000241c9
\U00038b36 #00038b36
🅱 #0001f171
ᔙ #00001519
Ꞝ #0000a79c
号 #000053f7
\U0001497a #0001497a
\uf2f9 #0000f2f9
\U000347d6 #000347d6
𰚸 #000306b8
𨄨 #00028128
𘑖 #00018456
𪣇 #0002a8c7
𥱗 #00025c57
索 #00007d22
\U000107f0 #000107f0
𩦭 #000299ad
\U00033c74 #00033c74
\U0003bf75 #0003bf75
蔲 #00008532
片 #00007247
𭜮 #0002d72e
\U0001d27c #0001d27c
꽝 #0000af5d
ꀧ #0000a027
嶼 #00005dbc
\U000137bd #000137bd
\U0001c312 #0001c312
\uf5a8 #0000f5a8
\U00016589 #00016589
\U00011365 #00011365
\U0001bf11 #0001bf11
\U00010e4c #00010e4c
ñ #000000f1
𬻿 #0002ceff
\U00036995 #00036995
꼝 #0000af1d
幀 #00005e40
\U0001eda5 #0001eda5
𧮱 #00027bb1
𪑜 #0002a45c
𨇑 #000281d1
访 #00008bbf
\U00016794 #00016794
\U000128cb #000128cb
\U0003f772 #0003f772
仓 #00004ed3
\U0003394e #0003394e
𢦱 #000229b1
ꗓ #0000a5d3
𛁛 #0001b05b
\U0003b4ec #0003b4ec
\U000113a0 #000113a0
备 #00005907
\U0003df1f #0003df1f
\U00016446 #00016446
\U0003fb47 #0003fb47
𪲄 #0002ac84
흂 #0000d742
徛 #00005f9b
\U0003acfb #0003acfb
𥽣 #00025f63
㌦ #00003326
乎 #00004e4e
\U0001c9b3 #0001c9b3
叔 #000053d4
\U00031535 #00031535
ۄ #000006c4
\U00039b58 #00039b58
\U00011b2c #00011b2c
\U0003328b #0003328b
买 #00004e70
\U0003c464 #0003c464
𢃈 #000220c8
\U0003349b #0003349b
𢜣 #00022723
⩞ #00002a5e
唾 #0000553e
\U0003fbaa #0003fbaa
\U0003da80 #0003da80
𬮨 #0002cba8
柬 #000067ec
⤥ #00002925
𠑽 #0002047d
\U00036c60 #00036c60
㧇 #000039c7
\U0001a1c9 #0001a1c9
\U000113d5 #000113d5
𪭿 #0002ab7f
\U0003c4d3 #0003c4d3
𐠜 #0001081c
\U0001a9d9 #0001a9d9
𫟕 #0002b7d5
执 #00006267
哈 #000054c8
\U0003ecce #0003ecce
Ᾰ #00001fb8
\U0003b8aa #0003b8aa
劫 #000052ab
\U0001fee6 #0001fee6
𦧛 #000269db
\U00013f56 #00013f56
\U00039ddd #00039ddd
𪓸 #0002a4f8
\U00015d6d #00015d6d
\U00037a84 #00037a84
\ued8c #0000ed8c
𭒫 #0002d4ab
\U0001e1ce #0001e1ce
𦻌 #00026ecc
\U000318b6 #000318b6
𥳐 #0000fad6
瓦 #000074e6
\U00034d5b #00034d5b
𪭠 #0002ab60
稳 #00007a33
𗡰 #00017870
𘌁 #00018301
⍧ #00002367
\U0001bdbf #0001bdbf
ﺈ #0000fe88
\U0001ab43 #0001ab43
欌 #00006b0c
捥 #00006365
\U000135f8 #000135f8
\U0001a3a4 #0001a3a4
쀕 #0000c015
졚 #0000c85a
𮇤 #0002e1e4
\U0001dec5 #0001dec5
\U00037432 #00037432
\U00011f81 #00011f81
\U0003dd7a #0003dd7a
𡬼 #00021b3c
ꄐ #0000a110
𩧺 #000299fa
\U0003e764 #0003e764
쇜 #0000c1dc
\U0002ee38 #0002ee38
ꢏ #0000a88f
魄 #00009b44
𥭓 #00025b53
𥋏 #000252cf
流 #0000f9ca
𡁱 #00021071
𪳼 #0002acfc
𧦗 #00027997
幼 #00005e7c
𪃚 #0002a0da
௰ #00000bf0
\uebca #0000ebca
𨝫 #0002876b
𠸓 #00020e13
烀 #000070c0
𦳤 #00026ce4
\U0003bedd #0003bedd
\U0001a37c #0001a37c
𭰮 #0002dc2e
붢 #0000bda2
𭅷 #0002d177
\U0003900e #0003900e
志 #00005fd7
𩧪 #000299ea
𭂙 #0002d099
\u082f #0000082f
穌 #00007a4c
\U000152ac #000152ac
\U00011ea1 #00011ea1
\U0003276e #0003276e
𡀖 #00021016
𗋆 #000172c6
\U00036caa #00036caa
쐇 #0000c407
k #0000006b
⨷ #00002a37
\U00037382 #00037382
𬨆 #0002ca06
𨁲 #00028072
𫱐 #0002bc50
𩑘 #00029458
𢸇 #00022e07
𩞠 #000297a0
𘧖 #000189d6
𭢹 #0002d8b9
𮭛 #0002eb5b
憵 #000061b5
\U0002f353 #0002f353
荐 #00008350
鳝 #00009cdd
뛹 #0000b6f9
驒 #00009a52
𓃖 #000130d6
◜ #000025dc
\U0001e0b5 #0001e0b5
\U0001dd9a #0001dd9a
⧍ #000029cd
𮝾 #0002e77e
𫹽 #0002be7d
⻯ #00002eef
ᄘ #00001118
\U00038cdc #00038cdc
𧇖 #000271d6
\U0003eba2 #0003eba2
\U0003cc55 #0003cc55
\U000395f1 #000395f1
\U00037777 #00037777
\U00014dd5 #00014dd5
\U00039119 #00039119
\U0003affa #0003affa
𒍻 #0001237b
픃 #0000d503
ꬰ #0000ab30
\U00038570 #00038570
\U00032e7e #00032e7e
专 #00004e13
𪤓 #0002a913
\U0001c971 #0001c971
\U00016ee3 #00016ee3
庚 #00005e9a
\ueaab #0000eaab
𤰬 #00024c2c
\U00033f81 #00033f81
🭉 #0001fb49
🭑 #0001fb51
\U0003fc98 #0003fc98
녧 #0000b167
챐 #0000cc50
𩖘 #00029598
\U0003f1de #0003f1de
𐙬 #0001066c
𪳽 #0002acfd
👇 #0001f447
𫖩 #0002b5a9
𦃎 #000260ce
\U0002eca0 #0002eca0
𒉷 #00012277
\U0001eff5 #0001eff5
𣧩 #000239e9
ᮭ #00001bad
𬟄 #0002c7c4
𠤯 #0002092f
\U0001ae3a #0001ae3a
\U0001ccb7 #0001ccb7
𒔶 #00012536
𒍇 #00012347
\U0002edad #0002edad
볆 #0000bcc6
\U0001c9e7 #0001c9e7
\U0003673d #0003673d
𢆒 #00022192
\U00015d22 #00015d22
𘔈 #00018508
\U0003e5bd #0003e5bd
𐄹 #00010139
𥩊 #00025a4a
🎸 #0001f3b8
𣖷 #000235b7
𧩎 #00027a4e
𩬖 #00029b16
𦃐 #000260d0
ㅣ #00003163
\U000164c5 #000164c5
𦨵 #00026a35
崝 #00005d1d
\U0003cc8d #0003cc8d
᮹ #00001bb9
𫞡 #0002b7a1
\U00019bda #00019bda
\U00038508 #00038508
\U00031e99 #00031e99
\U0003e935 #0003e935
𠫱 #00020af1
\U0001ffc9 #0001ffc9
𗗘 #000175d8
\U00012c02 #00012c02
\ue820 #0000e820
ặ #00001eb7
ံ #00001036
夜 #0000591c
\U0003e34c #0003e34c
\U0003914a #0003914a
\U00013fb4 #00013fb4
堪 #0000582a
\U00033b80 #00033b80
𬹊 #0002ce4a
𭖨 #0002d5a8
𦟣 #000267e3
窲 #00007ab2
\U00036ed7 #00036ed7
𗮰 #00017bb0
𒌫 #0001232b
\U00036838 #00036838
⼦ #00002f26
\U0003d3c3 #0003d3c3
𗁂 #00017042
𬖏 #0002c58f
\U0003a9b3 #0003a9b3
耜 #0000801c
\U0003a113 #0003a113
\U00010777 #00010777
\U00012da5 #00012da5
𨞼 #000287bc
뭝 #0000bb5d
\U00014db0 #00014db0
ᦥ #000019a5
𨭙 #00028b59
羦 #00007fa6
뺙 #0000be99
𨖄 #00028584
\U0001b5ad #0001b5ad
\U00033647 #00033647
𫗥 #0002b5e5
\U00037da1 #00037da1
폌 #0000d3cc
\U00019c49 #00019c49
㟕 #000037d5
\U00032f3a #00032f3a
𰰒 #00030c12
𡛗 #000216d7
嵞 #00005d5e
\U000375ab #000375ab
𛱓 #0001bc53
质 #00008d28
𐲄 #00010c84
\U0001e056 #0001e056
𭢡 #0002d8a1
\U0003a25f #0003a25f
\U00015a26 #00015a26
\U00014efc #00014efc
缩 #00007f29
\U0001953c #0001953c
用 #00007528
\u2ef4 #00002ef4
𗦄 #00017984
國 #0000570b
\U00034b9a #00034b9a
\U0003e626 #0003e626
\U00015e3a #00015e3a
\U0003fb30 #0003fb30
\U0003739b #0003739b
\U00036feb #00036feb
\U0003ee0a #0003ee0a
𰖪 #000305aa
䖜 #0000459c
\U00036d27 #00036d27
\U0001fc13 #0001fc13
𗥉 #00017949
🎹 #0001f3b9
犠 #000072a0
\U00031cfe #00031cfe
𑥗 #00011957
句 #000053e5
𡄊 #0002110a
𧢗 #00027897
\U0001a3f8 #0001a3f8
\U00016d3e #00016d3e
\U00015325 #00015325
𣐛 #0002341b
𖭩 #00016b69
\U0001e190 #0001e190
\U0001e9a5 #0001e9a5
𰍕 #00030355
𠼞 #00020f1e
𠭫 #00020b6b
⺈ #00002e88
𭂌 #0002d08c
\U00037e2f #00037e2f
戆 #00006206
Ố #00001ed0
项 #00009879
\U0001b325 #0001b325
詹 #00008a79
𨕳 #00028573
≠ #00002260
雐 #000096d0
\U0003e368 #0003e368
× #000000d7
\U0002ee86 #0002ee86
\U000351ca #000351ca
껻 #0000aefb
𣺏 #00023e8f
𧫛 #00027adb
\U0003477b #0003477b
\ue850 #0000e850
魻 #00009b7b
⻅ #00002ec5
\U00037729 #00037729
𨠔 #00028814
\U00034201 #00034201
𧩟 #00027a5f
ꭘ #0000ab58
\U000320ac #000320ac
\U0002ff10 #0002ff10
\U0003cc8b #0003cc8b
烗 #000070d7
\u2000 #00002000
\U0001ace2 #0001ace2
𢬧 #00022b27
\U0002fca2 #0002fca2
\U000396bf #000396bf
\U0001384e #0001384e
𝄦 #0001d126
\U00033542 #00033542
\U0003b069 #0003b069
\U0002fe0b #0002fe0b
𪦶 #0002a9b6
䨃 #00004a03
\U000396eb #000396eb
\U0001de1a #0001de1a
淪 #0000f9d6
𩺣 #00029ea3
瓾 #000074fe
\U0003fa97 #0003fa97
𭈿 #0002d23f
\U0003e134 #0003e134
\U0002f6d4 #0002f6d4
\U00019b77 #00019b77
\U000125a0 #000125a0
\U000192a4 #000192a4
𱀏 #0003100f
益 #000076ca
\U00010eb9 #00010eb9
𨢔 #00028894
\U000166f5 #000166f5
\U00037787 #00037787
ꧧ #0000a9e7
\U0003448b #0003448b
𦶱 #00026db1
堆 #00005806
\U00018fb0 #00018fb0
中 #00004e2d
\U0002ede8 #0002ede8
槱 #000069f1
矑 #000077d1
\U00019d00 #00019d00
𘍇 #00018347
\U0001c76b #0001c76b
𫾘 #0002bf98
𝨆 #0001da06
\U000149ef #000149ef
𪶫 #0002adab
\U0001cdb5 #0001cdb5
ѝ #0000045d
舽 #0000823d
\U00035462 #00035462
\U0003fd4f #0003fd4f
廷 #00005ef7
w #00000077
\U00039b86 #00039b86
\U000323e5 #000323e5
𧩉 #00027a49
𦂉 #00026089
暗 #00006697
𬕅 #0002c545
\U00012ac5 #00012ac5
缺 #00007f3a
䦦 #000049a6
谓 #00008c13
\U00015b75 #00015b75
𘇸 #000181f8
\U00037a63 #00037a63
\U000152ef #000152ef
𗏔 #000173d4
𔑖 #00014456
\U000349b6 #000349b6
\U0003fe4e #0003fe4e
\U0003f6fd #0003f6fd
ბ #000010d1
\U00035882 #00035882
\U000319f9 #000319f9
\U0002f41f #0002f41f
\U000377d8 #000377d8
\U0003287f #0003287f
쑞 #0000c45e
押 #000062bc
\U0001968e #0001968e
\u0f70 #00000f70
𒀺 #0001203a
𤔰 #00024530
𤔠 #00024520
㟘 #000037d8
🮝 #0001fb9d
\U000383b4 #000383b4
\U00036ede #00036ede
㊹ #000032b9
\U00034ad6 #00034ad6
胪 #000080ea
ꋈ #0000a2c8
𩳖 #00029cd6
𪻡 #0002aee1
拍 #000062cd
𮬞 #0002eb1e
⊆ #00002286
ꈮ #0000a22e
\U0003ed40 #0003ed40
氢 #00006c22
𮊪 #0002e2aa
𡛞 #000216de
丝 #00004e1d
\uef25 #0000ef25
\U0001d3ef #0001d3ef
𝨱 #0001da31
𪶑 #0002ad91
\u0cf9 #00000cf9
\U0002ed1c #0002ed1c
𢙨 #00022668
𐊼 #000102bc
ꮡ #0000aba1
𭞉 #0002d789
栏 #0000680f
电 #00007535
\U0003d4fc #0003d4fc
\U00019656 #00019656
\U00035105 #00035105
\uee75 #0000ee75
첳 #0000ccb3
\U0003fe78 #0003fe78
您 #000060a8
𧵊 #00027d4a
𪗯 #0002a5ef
\U00039237 #00039237
ꞝ #0000a79d
🈓 #0001f213
랥 #0000b7a5
𮞦 #0002e7a6
𑤛 #0001191b
\U00019cc1 #00019cc1
\U00015345 #00015345
\U00013a4f #00013a4f
\U00031c99 #00031c99
ⵕ #00002d55
𢵌 #00022d4c
鶳 #00009db3
\U00015f14 #00015f14
褴 #00008934
𤱪 #00024c6a
\U00031db1 #00031db1
\U00035040 #00035040
‧ #00002027
컳 #0000cef3
䫬 #00004aec
躯 #00008eaf
\U00036d34 #00036d34
𡝍 #0002174d
⁄ #00002044
麔 #00009e94
𠴸 #00020d38
\U00034e34 #00034e34
𐙥 #00010665
\U000155bb #000155bb
🡓 #0001f853
𢷸 #00022df8
𦢝 #0002689d
𫍷 #0002b377
\U00037abb #00037abb
\U00033922 #00033922
戳 #00006233
ꌧ #0000a327
𗪣 #00017aa3
𱄃 #00031103
\U0003d863 #0003d863
𗫯 #00017aef
\ueffb #0000effb
\U00014ff0 #00014ff0
\U00031f53 #00031f53
𡥩 #00021969
ꊙ #0000a299
𗒙 #00017499
\U0003aef3 #0003aef3
𮌄 #0002e304
𝘑 #0001d611
\U000369a5 #000369a5
𪋤 #0002a2e4
哉 #000054c9
𡝬 #0002176c
𩳢 #00029ce2
\U0002f5a1 #0002f5a1
侦 #00004fa6
𗝛 #0001775b
𢙏 #0002264f
\U00034d2d #00034d2d
会 #00004f1a
𪙾 #0002a67e
\U0001ff90 #0001ff90
\U0002eed7 #0002eed7
\U0003c3f2 #0003c3f2
\U00038f4d #00038f4d
\U00035959 #00035959
𭔟 #0002d51f
黑 #00009ed1
\U0003662e #0003662e
\U00012d50 #00012d50
\ue136 #0000e136
𬾹 #0002cfb9
𦹸 #00026e78
\U0001b457 #0001b457
\U00037f2c #00037f2c
Ⳁ #00002cc0
뀩 #0000b029
ᡌ #0000184c
\U00013973 #00013973
\U00035076 #00035076
\U0003d91a #0003d91a
\U00033246 #00033246
\U00034451 #00034451
絎 #00007d4e
𤪧 #00024aa7
𧰛 #00027c1b
𰴿 #00030d3f
濱 #00006ff1
櫋 #00006acb
𓎲 #000133b2
뀼 #0000b03c
\U0001fbd7 #0001fbd7
𑆯 #000111af
\U0003acda #0003acda
\U00038cd6 #00038cd6
\u2028 #00002028
\U0001e338 #0001e338
\U00033669 #00033669
𧂲 #000270b2
𡠧 #00021827
\U00015f4a #00015f4a
\U0003cb4f #0003cb4f
𨫜 #00028adc
轮 #00008f6e
𞄋 #0001e10b
붎 #0000bd8e
\uf4ed #0000f4ed
\uf84a #0000f84a
鳴 #00009cf4
\U0003d685 #0003d685
\U0003da5c #0003da5c
➀ #00002780
𥿝 #00025fdd
\U0001bae0 #0001bae0
篯 #00007bef
\U0002f0dc #0002f0dc
🗌 #0001f5cc
𘅝 #0001815d
\U0003320c #0003320c
ꐏ #0000a40f
\U0003e662 #0003e662
𠗾 #000205fe
ﴊ #0000fd0a
𧨓 #00027a13
\U00034b26 #00034b26
\U00037605 #00037605
\U00016c3f #00016c3f
𤣹 #000248f9
\U0001c382 #0001c382
\U00016344 #00016344
𘄩 #00018129
\U00037c77 #00037c77
︮ #0000fe2e
\U0003646a #0003646a
𣘗 #00023617
𖤿 #0001693f
ῢ #00001fe2
\U00013c01 #00013c01
㢶 #000038b6
𥿂 #00025fc2
\U00019ac6 #00019ac6
\U00038550 #00038550
𪅰 #0002a170
湍 #00006e4d
㎜ #0000339c
\U0001b14b #0001b14b
𨅭 #0002816d
ᄜ #0000111c
ગ #00000a97
\U0003f75e #0003f75e
🠯 #0001f82f
𗾤 #00017fa4
\U00031d22 #00031d22
\U0003c187 #0003c187
\U0003cbd1 #0003cbd1
\U0003ca0a #0003ca0a
𬏭 #0002c3ed
癍 #0000764d
𢒵 #000224b5
\U0003eb11 #0003eb11
\U0003b391 #0003b391
𠃒 #000200d2
🫐 #0001fad0
多 #0000591a
섭 #0000c12d
\U0003d304 #0003d304
ꙋ #0000a64b
盛 #000076db
\U0003f1da #0003f1da
𒅂 #00012142
𩰎 #00029c0e
\U0003ee70 #0003ee70
墙 #00005899
\U00019a05 #00019a05
\ued7e #0000ed7e
\U000147c1 #000147c1
瓊 #000074ca
\U0003b248 #0003b248
先 #00005148
滾 #00006efe
⸏ #00002e0f
\U0001cba7 #0001cba7
\ue197 #0000e197
𝤅 #0001d905
\uf55c #0000f55c
輸 #0002f9df
\U0003716f #0003716f
𥊾 #000252be
隰 #000096b0
𪼝 #0002af1d
𔐯 #0001442f
\U0001391c #0001391c
𤧁 #000249c1
\U00015cb7 #00015cb7
瘲 #00007632
𛋛 #0001b2db
\U00015bca #00015bca
𡷖 #00021dd6
𐚥 #000106a5
𒆑 #00012191
𧣞 #000278de
𥓽 #000254fd
𤌓 #00024313
\U0003b835 #0003b835
좷 #0000c8b7
肤 #000080a4
\U0001bf78 #0001bf78
\U00036791 #00036791
\U00016fd0 #00016fd0
묈 #0000bb08
㕅 #00003545
嵏 #00005d4f
\U00016b5a #00016b5a
ⰹ #00002c39
𫠡 #0002b821
\U000364d2 #000364d2
𣧎 #000239ce
𫩨 #0002ba68
𥩑 #00025a51
\U000191df #000191df
𨥡 #00028961
緿 #00007dff
뻣 #0000bee3
\U0003f5ff #0003f5ff
럅 #0000b7c5
\U00032099 #00032099
𝈋 #0001d20b
\U0003c6e9 #0003c6e9
𘣽 #000188fd
㩔 #00003a54
𪼑 #0002af11
𥒡 #000254a1
\U000375bc #000375bc
\U00036940 #00036940
\U0001c2ed #0001c2ed
𠅛 #0002015b
\U00018e2b #00018e2b
\U0001be84 #0001be84
悹 #000060b9
뮐 #0000bb90
\U00034162 #00034162
\U000384ca #000384ca
\U0001c937 #0001c937
荮 #0000836e
\U0003b780 #0003b780
펣 #0000d3a3
𖹡 #00016e61
\U0003d468 #0003d468
峅 #00005cc5
𡡯 #0002186f
𣞌 #0002378c
\U0003a104 #0003a104
ꟽ #0000a7fd
옢 #0000c622
\U0001fee2 #0001fee2
葋 #0000844b
\U00014c4a #00014c4a
𭅋 #0002d14b
\U00019298 #00019298
숰 #0000c230
杰 #00006770
켏 #0000cf0f
\U0001a52d #0001a52d
\U00039e2a #00039e2a
𨊷 #000282b7
𨴙 #00028d19
褁 #00008901
\U000336cf #000336cf
\U0001e363 #0001e363
\U0003adaa #0003adaa
\U0003630c #0003630c
\U0003e2a4 #0003e2a4
\U00010ffe #00010ffe
𦻄 #00026ec4
棞 #000068de
鴣 #00009d23
⳩ #00002ce9
黎 #00009ece
𤒈 #00024488
\U0002f582 #0002f582
\U00038211 #00038211
𪹓 #0002ae53
\U0001614f #0001614f
\U0001b7d8 #0001b7d8
ز #00000632
㲃 #00003c83
\U0003f71b #0003f71b
\U0001e413 #0001e413
ꨐ #0000aa10
ꓷ #0000a4f7
噇 #00005647
𡶙 #00021d99
\U000382d2 #000382d2
\U00039420 #00039420
\U00038090 #00038090
𠑰 #00020470
🜊 #0001f70a
𮎤 #0002e3a4
𗿿 #00017fff
𰪊 #00030a8a
𰛒 #000306d2
\U0001f2bf #0001f2bf
\U0003fb35 #0003fb35
拉 #000062c9
𦱕 #00026c55
𢎝 #0002239d
\U0003e843 #0003e843
쩎 #0000ca4e
\U0003a905 #0003a905
\uf398 #0000f398
𗪹 #00017ab9
𡬺 #00021b3a
𦡦 #00026866
📅 #0001f4c5
\U0003d5e6 #0003d5e6
\U00019706 #00019706
𫑚 #0002b45a
꿴 #0000aff4
𱌧 #00031327
⻚ #00002eda
\uef36 #0000ef36
𣤲 #00023932
\U0001bb60 #0001bb60
\U0003e138 #0003e138
𰢪 #000308aa
\U0001ad49 #0001ad49
\U00035b47 #00035b47
\U0003184f #0003184f
\U0001e461 #0001e461
𰤭 #0003092d
\U0003ae08 #0003ae08
𨹡 #00028e61
\U00015b00 #00015b00
𨢹 #000288b9
\U0001fdd5 #0001fdd5
\U00018f37 #00018f37
𭠛 #0002d81b
\U00033c90 #00033c90
\U0001d3c9 #0001d3c9
𑌉 #00011309
\U0001c982 #0001c982
\U00019729 #00019729
𬨺 #0002ca3a
\U00011cff #00011cff
쐕 #0000c415
퉕 #0000d255
\U0003fc07 #0003fc07
\U000363b4 #000363b4
𬷄 #0002cdc4
ꍲ #0000a372
었 #0000c5c8
\U0003b12e #0003b12e
\U000392f4 #000392f4
𦉚 #0002625a
\U0003c1d4 #0003c1d4
𞀐 #0001e010
\U0001b568 #0001b568
\U00013ae7 #00013ae7
\U0003e062 #0003e062
ﲵ #0000fcb5
璂 #00007482
\U000322f9 #000322f9
𥣩 #000258e9
𑖳 #000115b3
\U00015d18 #00015d18
𢩿 #00022a7f
궋 #0000ad8b
𤺙 #00024e99
\U00031e74 #00031e74
\U0001eaca #0001eaca
\U00035139 #00035139
쪳 #0000cab3
𰧸 #000309f8
\U0003f670 #0003f670
𮅗 #0002e157
识 #00008bc6
嘤 #00005624
\U00038f32 #00038f32
\U000195b2 #000195b2
\U0002ec81 #0002ec81
\U000128f5 #000128f5
\ue355 #0000e355
𦭄 #00026b44
㓟 #0002f81f
\U00036ff9 #00036ff9
𛱨 #0001bc68
随 #0000968f
뾰 #0000bfb0
𪈱 #0002a231
𝆈 #0001d188
ࣕ #000008d5
\U00016cac #00016cac
\U0001b5f0 #0001b5f0
𩌍 #0002930d
\U00033ad8 #00033ad8
𦇙 #000261d9
\U000336bd #000336bd
ꀟ #0000a01f
𢂶 #000220b6
𘁥 #00018065
𠁳 #00020073
讨 #00008ba8
𰴨 #00030d28
\U0001e549 #0001e549
𘝟 #0001875f
\U00019ab3 #00019ab3
\U0003b426 #0003b426
\U00035fae #00035fae
鳠 #00009ce0
❙ #00002759
\U0003dfcf #0003dfcf
𣩯 #00023a6f
\U00014e2a #00014e2a
ᄏ #0000110f
𮦆 #0002e986
𮨾 #0002ea3e
ø #000000f8
\U00033d98 #00033d98
𤚚 #0002469a
𣪣 #00023aa3
𫦛 #0002b99b
𡣻 #000218fb
铀 #000094c0
𩁇 #00029047
\U000319e2 #000319e2
\U000158be #000158be
\U000350ba #000350ba
巿 #00005dff
\U0003324b #0003324b
\U00032823 #00032823
𰆤 #000301a4
ⱗ #00002c57
\U00015464 #00015464
\U00016a94 #00016a94
𦟧 #000267e7
᪈ #00001a88
𫐐 #0002b410
\uf198 #0000f198
\U0001bd6a #0001bd6a
𐦅 #00010985
𧛪 #000276ea
𰹎 #00030e4e
驜 #00009a5c
𦛮 #000266ee
𘁺 #0001807a
\ua7d2 #0000a7d2
\U0001cf1b #0001cf1b
𭋐 #0002d2d0
德 #00005fb7
罻 #00007f7b
\U0003d1c0 #0003d1c0
