捬 #0000636c
\u0b7f #00000b7f
𞺡 #0001eea1
𥻻 #00025efb
𩑀 #00029440
뜀 #0000b700
\U00011d5e #00011d5e
䛷 #000046f7
𡫠 #00021ae0
\U000115fb #000115fb
\U00031513 #00031513
\U0003e384 #0003e384
\U00037581 #00037581
硐 #00007850
\U0003a4b5 #0003a4b5
偋 #0000504b
\U0002ffa3 #0002ffa3
\U00034ce6 #00034ce6
𘅎 #0001814e
𩱲 #00029c72
𝙡 #0001d661
府 #00005e9c
𛆌 #0001b18c
\U00016f4c #00016f4c
ꉸ #0000a278
\U0003f35b #0003f35b
𘅖 #00018156
𓅾 #0001317e
\U0003b504 #0003b504
⨂ #00002a02
翆 #00007fc6
\U00036f95 #00036f95
\U0001e13e #0001e13e
𣨊 #00023a0a
𗰷 #00017c37
뙬 #0000b66c
术 #0000672f
\U0002ec04 #0002ec04
\U00032f92 #00032f92
铓 #000094d3
\U000157d0 #000157d0
\U0001ff3f #0001ff3f
𓋣 #000132e3
案 #00006848
\U000123b1 #000123b1
\U0001ed63 #0001ed63
\U00035755 #00035755
𧿋 #00027fcb
𭯕 #0002dbd5
\U00014d25 #00014d25
𗠤 #00017824
\U00039062 #00039062
\U000190f1 #000190f1
𤬵 #00024b35
\U00038e9a #00038e9a
\U00039de5 #00039de5
\U0003a95c #0003a95c
\U0003f348 #0003f348
阢 #00009622
𰋽 #000302fd
𨬃 #00028b03
뚆 #0000b686
\U0003dda0 #0003dda0
𭏳 #0002d3f3
𖬝 #00016b1d
\U0001be56 #0001be56
\U00036a66 #00036a66
\u1ad5 #00001ad5
\U0001ff30 #0001ff30
𱇈 #000311c8
𪓨 #0002a4e8
퐇 #0000d407
姓 #000059d3
𖾆 #00016f86
\U000341d6 #000341d6
𭂻 #0002d0bb
𖫝 #00016add
\U000341b4 #000341b4
ዡ #000012e1
𰧴 #000309f4
𪽲 #0002af72
𘱫 #00018c6b
\U0003acd7 #0003acd7
𠎡 #000203a1
\ue98a #0000e98a
\ua7c0 #0000a7c0
嬚 #00005b1a
襢 #00008962
𣓗 #000234d7
𤈩 #00024229
𥫁 #00025ac1
ૄ #00000ac4
𡐅 #00021405
Ἡ #00001f29
𦟵 #000267f5
\U00014cf0 #00014cf0
𥌼 #0002533c
𩒕 #00029495
샛 #0000c0db
\U00015111 #00015111
娾 #00005a3e
𡃿 #000210ff
죙 #0000c8d9
䶥 #00004da5
\U00012cfd #00012cfd
\U00033443 #00033443
먀 #0000ba00
\U0001a6f3 #0001a6f3
\U0001ed82 #0001ed82
⾈ #00002f88
𦌎 #0002630e
\U0003ef6f #0003ef6f
𰥁 #00030941
㿀 #00003fc0
赮 #00008d6e
ꋤ #0000a2e4
\U00019b80 #00019b80
\U0001cbb8 #0001cbb8
の #0000306e
㟈 #000037c8
㢘 #00003898
\U0001fd8f #0001fd8f
늄 #0000b284
캩 #0000cea9
𪼊 #0002af0a
것 #0000ac83
\U0003a300 #0003a300
\U0003d6c0 #0003d6c0
싙 #0000c2d9
𥥭 #0002596d
𢽯 #00022f6f
\U000388c0 #000388c0
\U0003abd9 #0003abd9
\U000336df #000336df
ᓾ #000014fe
ಒ #00000c92
\U0003e27c #0003e27c
𤩷 #00024a77
\u1a1d #00001a1d
\U0001b326 #0001b326
超 #00008d85
靪 #0000976a
该 #00008be5
\U0003c482 #0003c482
\U0002f1c8 #0002f1c8
\U0001b6ab #0001b6ab
\U00011246 #00011246
᠒ #00001812
𠉦 #00020266
𤄹 #00024139
历 #00005386
\U000343df #000343df
\U0003b2b6 #0003b2b6
\U00019573 #00019573
늃 #0000b283
Ế #00001ebe
𦢪 #000268aa
\U0001e1ac #0001e1ac
希 #00005e0c
𠷗 #00020dd7
\U00038f92 #00038f92
\U0001a970 #0001a970
\U0003ff97 #0003ff97
\U0003a136 #0003a136
⯕ #00002bd5
⦅ #00002985
𬻴 #0002cef4
\U00036888 #00036888
ऴ #00000934
\U0003c895 #0003c895
\U0001078e #0001078e
\U0003a9db #0003a9db
\U00032225 #00032225
𝌕 #0001d315
𤷎 #00024dce
𨠸 #00028838
𤖣 #000245a3
\U0001188b #0001188b
𠈈 #00020208
𝆌 #0001d18c
\U0001feea #0001feea
𤩬 #00024a6c
\U0003b1b2 #0003b1b2
\U000396cf #000396cf
\ue6c0 #0000e6c0
𰄃 #00030103
𨝮 #0002876e
\U00036533 #00036533
\U00019dd5 #00019dd5
\U00039540 #00039540
\U0003f3a9 #0003f3a9
굴 #0000ad74
\U0001fc0e #0001fc0e
댶 #0000b336
儱 #00005131
챆 #0000cc46
ᩤ #00001a64
𤄟 #0002411f
뜒 #0000b712
𰘾 #0003063e
\U00012939 #00012939
쬱 #0000cb31
\U00035302 #00035302
\U0001a72d #0001a72d
얾 #0000c5be
\U00015359 #00015359
뚪 #0000b6aa
𒔒 #00012512
𦑜 #0002645c
\U00015eee #00015eee
燳 #000071f3
羚 #0000f9af
軎 #00008ece
\U00010233 #00010233
\U0002f0fc #0002f0fc
\U0003756c #0003756c
\U0001cb2b #0001cb2b
\U000335e9 #000335e9
𭊞 #0002d29e
\U00037c41 #00037c41
𰲉 #00030c89
油 #00006cb9
𡐋 #0002140b
𦖠 #000265a0
\U000135e3 #000135e3
𣇼 #000231fc
𤼚 #00024f1a
\U00033f2a #00033f2a
𝤾 #0001d93e
𱂕 #00031095
\ueba8 #0000eba8
\U0001961d #0001961d
𤁱 #00024071
𢞖 #00022796
\U0002a6f2 #0002a6f2
\U0001cdd7 #0001cdd7
Ἲ #00001f3a
\uf362 #0000f362
\uf48e #0000f48e
\U0003bf9c #0003bf9c
룈 #0000b8c8
\U0001cc3c #0001cc3c
𔘺 #0001463a
\U00033c69 #00033c69
렘 #0000b818
𗰩 #00017c29
嵃 #0002f87c
焩 #00007129
¯ #000000af
П #0000041f
黑 #00009ed1
𫀗 #0002b017
킨 #0000d0a8
\ue9d4 #0000e9d4
𪡁 #0002a841
ొ #00000c4a
க #00000b95
썈 #0000c348
ﳱ #0000fcf1
𣵳 #00023d73
𑓓 #000114d3
\U00011f0e #00011f0e
싱 #0000c2f1
\U0003961c #0003961c
𩝛 #0002975b
\uec08 #0000ec08
\U0003ac94 #0003ac94
教 #00006559
꾲 #0000afb2
疚 #0000759a
𤹱 #00024e71
\U0001516b #0001516b
\U0001491b #0001491b
躒 #00008e92
𰐜 #0003041c
芏 #0000828f
\U00010200 #00010200
\U0001c811 #0001c811
\U00035a24 #00035a24
\U00015c9a #00015c9a
𫁆 #0002b046
𢽁 #00022f41
\U0003987f #0003987f
\U00036751 #00036751
\U0001a5e1 #0001a5e1
囫 #000056eb
\U0001937a #0001937a
⬝ #00002b1d
\U00011505 #00011505
\U0003615d #0003615d
⺲ #00002eb2
\U0003414f #0003414f
\U000383b5 #000383b5
𤖭 #000245ad
𮑙 #0002e459
𧨲 #00027a32
궭 #0000adad
\uf327 #0000f327
\U0002edcb #0002edcb
\U00038f0a #00038f0a
𠕔 #00020554
\U0001a2db #0001a2db
\uaaf9 #0000aaf9
\U0002f5da #0002f5da
셥 #0000c165
\U00019658 #00019658
𥣟 #000258df
\uf06f #0000f06f
𭲞 #0002dc9e
\U0003c471 #0003c471
ૌ #00000acc
𘐉 #00018409
𢯴 #00022bf4
\U00016445 #00016445
\U0003893a #0003893a
\U0003727a #0003727a
𥨱 #00025a31
𰍂 #00030342
\U0003390d #0003390d
𛇲 #0001b1f2
𢿏 #00022fcf
\U0003da6b #0003da6b
\U00019a32 #00019a32
喆 #00005586
\U000348b9 #000348b9
𱇫 #000311eb
\U00036aec #00036aec
𣷶 #00023df6
𧈮 #0002722e
\U00037534 #00037534
\U0003e43e #0003e43e
\U00037b06 #00037b06
\U0001c725 #0001c725
\U0001e6e6 #0001e6e6
🈻 #0001f23b
𥉆 #00025246
뜇 #0000b707
\U000152ec #000152ec
\U0001dcc1 #0001dcc1
\U0001aa06 #0001aa06
ꨉ #0000aa09
𰀥 #00030025
锁 #00009501
↕ #00002195
\U000347cc #000347cc
绍 #00007ecd
\U0001a54b #0001a54b
랁 #0000b781
\U000149c7 #000149c7
\U0003481f #0003481f
𡟂 #000217c2
\U00013cec #00013cec
𭖅 #0002d585
\U000149b4 #000149b4
鹣 #00009e63
殻 #0002f8f6
\U0003e63e #0003e63e
慖 #00006156
\U0003575d #0003575d
\U00018f01 #00018f01
㡘 #00003858
𒄈 #00012108
\U000143dc #000143dc
\U0002fa45 #0002fa45
𡕬 #0002156c
𫢹 #0002b8b9
𧀮 #0002702e
𤗌 #000245cc
𥍨 #00025368
𧿳 #00027ff3
柔 #000067d4
濺 #00006ffa
\U0002ee28 #0002ee28
\U0001ff56 #0001ff56
︪ #0000fe2a
𮆣 #0002e1a3
\U00037ac9 #00037ac9
後 #00005f8c
𢣞 #000228de
耩 #00008029
\U0001cf41 #0001cf41
軽 #00008efd
仪 #00004eea
\U0001b73c #0001b73c
\U0001dced #0001dced
옔 #0000c614
嬴 #00005b34
璸 #000074b8
\U00016170 #00016170
\U0001be9a #0001be9a
솛 #0000c19b
𢷰 #00022df0
\U000345d0 #000345d0
𨼹 #00028f39
𫃩 #0002b0e9
\U0003f49d #0003f49d
𦾖 #00026f96
\U00031a5c #00031a5c
\U0003fe93 #0003fe93
② #00002461
𠉻 #0002027b
\U0003cd02 #0003cd02
\U00036646 #00036646
\U000313ff #000313ff
何 #00004f55
\U00013b30 #00013b30
𬖐 #0002c590
\U0003e5a8 #0003e5a8
\u18f9 #000018f9
𰨱 #00030a31
\U0003f5ad #0003f5ad
\U0003ba90 #0003ba90
\U0001a0f9 #0001a0f9
\U000342ea #000342ea
\U0003cf58 #0003cf58
𩦎 #0002998e
\U0003cd30 #0003cd30
ᄮ #0000112e
\ue1ba #0000e1ba
\U0003502f #0003502f
\U00019bb9 #00019bb9
\U00018f17 #00018f17
𘇞 #000181de
\U00032d8d #00032d8d
\U0003ebe3 #0003ebe3
\U00031a6b #00031a6b
𦷖 #00026dd6
\U000377c8 #000377c8
𢢇 #00022887
\U00031fcb #00031fcb
𨶼 #00028dbc
\U0001ea6c #0001ea6c
吝 #0000541d
𪋧 #0002a2e7
\U00033232 #00033232
\U0001af88 #0001af88
𪵴 #0002ad74
\U00012d9a #00012d9a
𮌶 #0002e336
욥 #0000c6a5
軞 #00008ede
謻 #00008b3b
\U00032b79 #00032b79
뇿 #0000b1ff
\U0003dfaa #0003dfaa
𩞬 #000297ac
\U0001cb89 #0001cb89
\U0001ccdc #0001ccdc
㫈 #00003ac8
𭧑 #0002d9d1
\U0001a414 #0001a414
𩟦 #000297e6
𣏡 #000233e1
ữ #00001eef
𐇓 #000101d3
𭙶 #0002d676
\U000313d4 #000313d4
𑌛 #0001131b
𘚏 #0001868f
罃 #00007f43
\U000159ab #000159ab
摼 #0000647c
𤄼 #0002413c
𩽍 #00029f4d
\U0003b305 #0003b305
\U0003db39 #0003db39
䴀 #00004d00
𧦇 #00027987
쑊 #0000c44a
槲 #000069f2
𤸒 #00024e12
\U00034c50 #00034c50
\U000149d5 #000149d5
𭹖 #0002de56
𪄇 #0002a107
㽁 #00003f41
🙨 #0001f668
𣴙 #00023d19
𠝸 #00020778
𣠑 #00023811
蜐 #00008710
ⴼ #00002d3c
𐒆 #00010486
\U0003c890 #0003c890
\U0001912c #0001912c
\U0003ef97 #0003ef97
𤘠 #00024620
\U00039759 #00039759
𦝟 #0002675f
\U0001cfed #0001cfed
\U000162b5 #000162b5
𤰄 #00024c04
\U0003b8ff #0003b8ff
\U00019395 #00019395
🍿 #0001f37f
𪇷 #0002a1f7
\U0001c478 #0001c478
䯄 #00004bc4
\U0001e04a #0001e04a
쀗 #0000c017
\U0003cbca #0003cbca
\U00015ce4 #00015ce4
\U0001fdd3 #0001fdd3
투 #0000d22c
𛁭 #0001b06d
\U000365fd #000365fd
\U00033b4b #00033b4b
\ue9e6 #0000e9e6
\U0001beca #0001beca
\U0001a0a5 #0001a0a5
𧍄 #00027344
𝟢 #0001d7e2
\U000349d3 #000349d3
\U0001cfdd #0001cfdd
㨀 #00003a00
𢫾 #00022afe
吃 #00005403
𫯘 #0002bbd8
𑤜 #0001191c
\U0003f0ba #0003f0ba
\U000126ee #000126ee
\U0003be5a #0003be5a
𡎿 #000213bf
𞠌 #0001e80c
\U00037d75 #00037d75
\U0001e4c9 #0001e4c9
𢰩 #00022c29
𫷬 #0002bdec
䂞 #0000409e
𪲂 #0002ac82
㺚 #00003e9a
𠖬 #000205ac
𦄩 #00026129
溥 #00006ea5
\U0001b633 #0001b633
踮 #00008e2e
匹 #00005339
𬶶 #0002cdb6
𐹶 #00010e76
化 #00005316
𩑊 #0002944a
𒄦 #00012126
\U00033052 #00033052
\ufff6 #0000fff6
𪺅 #0002ae85
\U0003f14f #0003f14f
\U00012d07 #00012d07
\U00036a27 #00036a27
ଌ #00000b0c
𪀶 #0002a036
\U0003851e #0003851e
흷 #0000d777
묂 #0000bb02
재 #0000c7ac
\U00037d23 #00037d23
𤱘 #00024c58
Đ #00000110
\U0001b4d9 #0001b4d9
\U00032d2e #00032d2e
\U0003dc19 #0003dc19
넶 #0000b136
𦫝 #00026add
\U000364de #000364de
늌 #0000b28c
쨂 #0000ca02
𓐬 #0001342c
🃡 #0001f0e1
\U00034af2 #00034af2
\U0001b377 #0001b377
\U000136a1 #000136a1
𭡔 #0002d854
횈 #0000d688
훵 #0000d6f5
\U000337d6 #000337d6
\U0003bd63 #0003bd63
\U00019d34 #00019d34
\U0003aa49 #0003aa49
ꦪ #0000a9aa
跑 #00008dd1
९ #0000096f
𫛄 #0002b6c4
儳 #00005133
\U00039503 #00039503
䙣 #00004663
\U000129a3 #000129a3
\U0003ce42 #0003ce42
\U00012eb9 #00012eb9
\U00013787 #00013787
\U0001bfe2 #0001bfe2
\U0002f405 #0002f405
规 #000089c4
𧺅 #00027e85
\U0003d916 #0003d916
\U0001a903 #0001a903
ु #00000941
𑋥 #000112e5
\U00031a03 #00031a03
\U0003a236 #0003a236
𩄡 #00029121
𠡹 #00020879
\U0001ca83 #0001ca83
👮 #0001f46e
몢 #0000baa2
Ვ #00001c95
ꁉ #0000a049
狆 #000072c6
\U000358fe #000358fe
𭳠 #0002dce0
瀗 #00007017
\U00037701 #00037701
\U0001c3e3 #0001c3e3
𫃸 #0002b0f8
𬇹 #0002c1f9
㹐 #00003e50
뜫 #0000b72b
𩚬 #000296ac
𫸺 #0002be3a
\U00011ba4 #00011ba4
숝 #0000c21d
𤨡 #00024a21
\U00034bc1 #00034bc1
\U0001d2b1 #0001d2b1
\U00010f98 #00010f98
\ue249 #0000e249
\U00012f73 #00012f73
𩭏 #00029b4f
\U0002fc9a #0002fc9a
𮜁 #0002e701
\U0003e4cd #0003e4cd
\U00014d1a #00014d1a
\U00012f3b #00012f3b
\U000372ad #000372ad
𡎙 #00021399
\U0002f0de #0002f0de
𬎝 #0002c39d
\U0003ed78 #0003ed78
\U00035396 #00035396
걢 #0000ac62
\U000357d0 #000357d0
\U00015750 #00015750
ﻧ #0000fee7
\U00037f2c #00037f2c
𬴟 #0002cd1f
\uf235 #0000f235
𥗞 #000255de
씻 #0000c53b
怅 #00006005
\U00034387 #00034387
\U0001eba7 #0001eba7
𰢷 #000308b7
뼃 #0000bf03
뻘 #0000bed8
🂺 #0001f0ba
\U0003155f #0003155f
\U0001e9ac #0001e9ac
\U0002ff0e #0002ff0e
𫦔 #0002b994
𡶨 #00021da8
\U000389f2 #000389f2
𦯏 #00026bcf
棈 #000068c8
㣰 #000038f0
愁 #00006101
\U0003747a #0003747a
𫨔 #0002ba14
\U0001a19f #0001a19f
𫏕 #0002b3d5
秬 #000079ec
\U0001c802 #0001c802
🩒 #0001fa52
\U000366dc #000366dc
\U0001c09d #0001c09d
\U000319cf #000319cf
㐽 #0000343d
𫁅 #0002b045
𤀂 #00024002
㤃 #00003903
컵 #0000cef5
𝌭 #0001d32d
𦠳 #00026833
Û #000000db
𩦥 #000299a5
𫌙 #0002b319
\U0001dd28 #0001dd28
闊 #000095ca
𣀔 #00023014
\U00015dd9 #00015dd9
媤 #00005aa4
组 #00007ec4
\U00038078 #00038078
𡰛 #00021c1b
\U0003c618 #0003c618
𘩬 #00018a6c
𢜦 #00022726
翑 #00007fd1
𢮜 #00022b9c
ﶳ #0000fdb3
𩌕 #00029315
\U00013670 #00013670
雩 #000096e9
\U00032c0e #00032c0e
\U0003c5af #0003c5af
𥫖 #00025ad6
\U00037d59 #00037d59
T #00000054
\uec9e #0000ec9e
🁆 #0001f046
\U000399b4 #000399b4
滑 #00006ed1
𥃃 #000250c3
⨤ #00002a24
𭅴 #0002d174
ᖔ #00001594
\U0001637b #0001637b
𤚲 #000246b2
\U000397b2 #000397b2
舄 #0002f98c
𠵓 #00020d53
푮 #0000d46e
抶 #000062b6
\U0001fffa #0001fffa
𨻛 #00028edb
\U00037169 #00037169
\U0003ba2c #0003ba2c
\U0003cb2b #0003cb2b
\U0001ac8c #0001ac8c
\U000136c0 #000136c0
𰒵 #000304b5
\U00031f2b #00031f2b
\U0001c01d #0001c01d
𨌃 #00028303
\U0001a255 #0001a255
ꙧ #0000a667
\U000105f3 #000105f3
\U00016d98 #00016d98
\U0003c3ca #0003c3ca
𣇚 #000231da
𬯓 #0002cbd3
𰐿 #0003043f
\ue8d7 #0000e8d7
\U0003d9df #0003d9df
\U0003b6da #0003b6da
\uf0ac #0000f0ac
\U000350ea #000350ea
𦵯 #00026d6f
𭥸 #0002d978
𐺱 #00010eb1
𤀼 #0002403c
\U0003ccbb #0003ccbb
𡷬 #00021dec
\U0002f416 #0002f416
墬 #000058ac
\U00014771 #00014771
𡀷 #00021037
⸙ #00002e19
༼ #00000f3c
\U00033024 #00033024
\U0003c2bb #0003c2bb
\U0003d0de #0003d0de
𪯖 #0002abd6
\U00032670 #00032670
\U0003e17e #0003e17e
\U0003b5f9 #0003b5f9
좛 #0000c89b
\U0003a470 #0003a470
𐙰 #00010670
🗋 #0001f5cb
\U00015771 #00015771
텑 #0000d151
𪜊 #0002a70a
勉 #000052c9
\U0003748f #0003748f
𫢐 #0002b890
\U00013db4 #00013db4
\U0001644d #0001644d
𭒠 #0002d4a0
㟚 #000037da
鴗 #00009d17
鴜 #00009d1c
с #00000441
\U00035716 #00035716
𮮏 #0002eb8f
\U0001cf2a #0001cf2a
\U00015a24 #00015a24
𮗉 #0002e5c9
\U000153d0 #000153d0
\uf13a #0000f13a
观 #000089c2
\U00036226 #00036226
\U00014e1e #00014e1e
⌟ #0000231f
笯 #00007b2f
\U00013a2d #00013a2d
𡂙 #00021099
𡣺 #000218fa
𬟦 #0002c7e6
纠 #00007ea0
\U0001e644 #0001e644
㯤 #00003be4
𧡫 #0002786b
𧌾 #0002733e
𧸴 #00027e34
됈 #0000b408
\U0002fa5a #0002fa5a
\U00018f74 #00018f74
ꗮ #0000a5ee
𠤧 #00020927
補 #000088dc
膚 #0000819a
\U00018e3e #00018e3e
\U00037d61 #00037d61
𝢱 #0001d8b1
𥌵 #00025335
𨪽 #00028abd
\U0001540c #0001540c
𬷄 #0002cdc4
\U00018f58 #00018f58
𠷕 #00020dd5
𖺂 #00016e82
𬐥 #0002c425
\U0001cfe8 #0001cfe8
𪭨 #0002ab68
\U00035873 #00035873
𤷛 #00024ddb
\U00038f23 #00038f23
\U0003b9b4 #0003b9b4
\U000368bb #000368bb
𠤇 #00020907
𧕒 #00027552
𪒿 #0002a4bf
𣕂 #00023542
𥅌 #0002514c
\U000399ca #000399ca
🚎 #0001f68e
𒇧 #000121e7
\ue767 #0000e767
𨰂 #00028c02
𫐍 #0002b40d
멍 #0000ba4d
\U0003b5fa #0003b5fa
럑 #0000b7d1
岸 #00005cb8
𰊃 #00030283
𓋫 #000132eb
𣆺 #000231ba
\U00039549 #00039549
\U0001398d #0001398d
𥺾 #00025ebe
\U0001eb7e #0001eb7e
𮁑 #0002e051
𭶲 #0002ddb2
𐇽 #000101fd
\U0003fc70 #0003fc70
𮅱 #0002e171
依 #00004f9d
奇 #00005947
𥉸 #00025278
쒾 #0000c4be
𝁎 #0001d04e
\ue5ec #0000e5ec
\U000136df #000136df
\U0003cbf6 #0003cbf6
𬵞 #0002cd5e
㾿 #00003fbf
\U00036acd #00036acd
Ω #000003a9
\U00031567 #00031567
\uf617 #0000f617
𪚘 #0002a698
\uf233 #0000f233
\U0003ae9b #0003ae9b
\U0002eeb6 #0002eeb6
𦙙 #00026659
\ufb10 #0000fb10
𪅥 #0002a165
𝇨 #0001d1e8
𗚛 #0001769b
硅 #00007845
豏 #00008c4f
\U0003d895 #0003d895
᠓ #00001813
㑧 #00003467
\U0001179e #0001179e
챐 #0000cc50
\U00031d16 #00031d16
𩷖 #00029dd6
宎 #00005b8e
困 #000056f0
𠕙 #00020559
𗿟 #00017fdf
\U0003b93a #0003b93a
\U0003640a #0003640a
垧 #000057a7
𫼩 #0002bf29
\U000383b2 #000383b2
鼡 #00009f21
🁜 #0001f05c
\U0001a993 #0001a993
𮧹 #0002e9f9
\U0001e33e #0001e33e
𑰶 #00011c36
𨮭 #00028bad
֬ #000005ac
\U0003f4c5 #0003f4c5
𫟅 #0002b7c5
𘓱 #000184f1
2 #00000032
\U00015c32 #00015c32
䴨 #00004d28
藑 #000085d1
\U0001e560 #0001e560
ᛲ #000016f2
\U0001b910 #0001b910
\ueab6 #0000eab6
᳨ #00001ce8
\U00036c69 #00036c69
쐦 #0000c426
\U0003d15b #0003d15b
𤦕 #00024995
𭐣 #0002d423
𗞱 #000177b1
𬶇 #0002cd87
\U0003aca5 #0003aca5
冂 #00005182
\U00019cea #00019cea
씇 #0000c507
\U00038df5 #00038df5
𩃀 #000290c0
\U000351d1 #000351d1
\U0003ffda #0003ffda
𡧁 #000219c1
\U0003af40 #0003af40
\U00037890 #00037890
\U0003b60d #0003b60d
\U0003a4a6 #0003a4a6
绝 #00007edd
𪪔 #0002aa94
𰈩 #00030229
厼 #000053bc
\U00035dd7 #00035dd7
ꦖ #0000a996
𦙭 #0002666d
傎 #0000508e
\U00032a8d #00032a8d
𰽍 #00030f4d
𒐁 #00012401
𡐰 #00021430
\U000324b9 #000324b9
𑌟 #0001131f
𗸿 #00017e3f
ɑ #00000251
𡱒 #00021c52
\U000350f3 #000350f3
𧧅 #000279c5
\U0003dfdd #0003dfdd
𒁜 #0001205c
𑚦 #000116a6
𬢱 #0002c8b1
𢺘 #00022e98
\U0003fb53 #0003fb53
\U0003f488 #0003f488
𣀹 #00023039
\U0003713b #0003713b
𘢥 #000188a5
𨢹 #000288b9
\U0003e4b9 #0003e4b9
ㅑ #00003151
\U0002ebf5 #0002ebf5
𪐯 #0002a42f
\U0003d038 #0003d038
\U000384ff #000384ff
툜 #0000d21c
𫅸 #0002b178
\U0001999d #0001999d
윍 #0000c70d
𖢂 #00016882
녆 #0000b146
𖾐 #00016f90
\U0003144a #0003144a
\U000187fc #000187fc
橫 #00006a6b
𮬑 #0002eb11
𘑈 #00018448
ꃟ #0000a0df
\U00038e4e #00038e4e
𑒍 #0001148d
弨 #00005f28
\U000127d6 #000127d6
\U0003cf22 #0003cf22
\U000157fd #000157fd
\U000110c8 #000110c8
𗑿 #0001747f
\U00035067 #00035067
忀 #00005fc0
𑚬 #000116ac
אָ #0000fb2f
\U00034b50 #00034b50
\U0001f8ae #0001f8ae
\U0003562b #0003562b
ꪢ #0000aaa2
𩫤 #00029ae4
\U000391fd #000391fd
\U00012bd1 #00012bd1
赑 #00008d51
\U0001535b #0001535b
铺 #000094fa
𡵈 #00021d48
\U0003f129 #0003f129
𡩶 #00021a76
\U0003e7ca #0003e7ca
倦 #00005026
𨊵 #000282b5
\U00019115 #00019115
\U000147d0 #000147d0
\U000337be #000337be
𪪬 #0002aaac
勻 #000052fb
𫰆 #0002bc06
\U00034819 #00034819
\U0003cdc3 #0003cdc3
𐹯 #00010e6f
컲 #0000cef2
𬺅 #0002ce85
\U00037f12 #00037f12
抗 #00006297
\ue837 #0000e837
\U00014edb #00014edb
𨽰 #00028f70
\U0003da10 #0003da10
쁇 #0000c047
胃 #000080c3
\U0001a218 #0001a218
\U00035f28 #00035f28
棉 #000068c9
\U000314a0 #000314a0
ߥ #000007e5
\U0003bf52 #0003bf52
\U00033885 #00033885
\U00038580 #00038580
\U00032c5a #00032c5a
𮧏 #0002e9cf
𤗲 #000245f2
㧆 #000039c6
🭻 #0001fb7b
𩤭 #0002992d
𠧾 #000209fe
\U0003e0b2 #0003e0b2
𦵾 #00026d7e
\U0003fc6f #0003fc6f
𗝾 #0001777e
𝣄 #0001d8c4
\U0001915b #0001915b
𫐪 #0002b42a
갬 #0000ac2c
\U0003f833 #0003f833
\U0001374d #0001374d
\U0001e0f1 #0001e0f1
𧲯 #00027caf
㮴 #00003bb4
\ued28 #0000ed28
\u2fe9 #00002fe9
𬚀 #0002c680
\U000190a2 #000190a2
\U0001fc5d #0001fc5d
\U0003f839 #0003f839
픽 #0000d53d
𭦪 #0002d9aa
𧵖 #00027d56
贞 #00008d1e
𣜠 #00023720
𗮅 #00017b85
돑 #0000b3d1
ᡕ #00001855
𝚗 #0001d697
\U0001df02 #0001df02
\U0003c2fe #0003c2fe
𠽱 #00020f71
\U00019601 #00019601
\U0002f71f #0002f71f
\uefbd #0000efbd
\U0003197a #0003197a
\ueef8 #0000eef8
\U0003e8e1 #0003e8e1
𧎩 #000273a9
𨎊 #0002838a
\uee55 #0000ee55
\ue4bf #0000e4bf
\U0003ee8f #0003ee8f
ꪛ #0000aa9b
\U0003f71b #0003f71b
귥 #0000ade5
ᬦ #00001b26
\U00033626 #00033626
\ue097 #0000e097
땇 #0000b547
\U00032290 #00032290
\U000345fd #000345fd
\U0003d3e8 #0003d3e8
𥰵 #00025c35
𮝶 #0002e776
𠛴 #000206f4
\U0003b384 #0003b384
롥 #0000b865
\U00014dd4 #00014dd4
\U0003785a #0003785a
\U00031ce3 #00031ce3
ấ #00001ea5
퐰 #0000d430
\U0001b827 #0001b827
\U0003ce58 #0003ce58
\U00015ffc #00015ffc
𞺬 #0001eeac
쁉 #0000c049
囎 #000056ce
\U0003fe47 #0003fe47
𫃶 #0002b0f6
𪸃 #0002ae03
𪎌 #0002a38c
𗇵 #000171f5
𮗜 #0002e5dc
\U000351a0 #000351a0
\U000390a0 #000390a0
𤷊 #00024dca
\U00032c70 #00032c70
𣡑 #00023851
融 #0000878d
\U0003ab05 #0003ab05
权 #00006743
驜 #00009a5c
𣒮 #000234ae
𧾉 #00027f89
\U0001bf0c #0001bf0c
𰢟 #0003089f
\U00010f78 #00010f78
邮 #000090ae
\U0003ba55 #0003ba55
\U0001ce71 #0001ce71
\U00031bd0 #00031bd0
ᤝ #0000191d
\U0001fdbb #0001fdbb
굛 #0000ad5b
𭕹 #0002d579
\U00032cf1 #00032cf1
\U0003294c #0003294c
\U0001dfc4 #0001dfc4
\U0003b482 #0003b482
𭣕 #0002d8d5
𭗔 #0002d5d4
𰂊 #0003008a
\U0002eccc #0002eccc
𧰝 #00027c1d
\uebfd #0000ebfd
ၻ #0000107b
𪣶 #0002a8f6
\U0002f048 #0002f048
优 #00004f18
৪ #000009ea
𬷠 #0002cde0
㕦 #00003566
\U00031a3d #00031a3d
\U00031840 #00031840
𠭺 #00020b7a
𨫤 #00028ae4
\U00033a17 #00033a17
𰋣 #000302e3
\U0003fb1f #0003fb1f
\U000318b6 #000318b6
𡮄 #00021b84
暝 #0000669d
𢙞 #0002265e
𪴵 #0002ad35
𬧴 #0002c9f4
軘 #00008ed8
𥊲 #000252b2
\U00019454 #00019454
\U0003eed1 #0003eed1
\U0001059a #0001059a
𢜫 #0002272b
\U00039895 #00039895
\ue09b #0000e09b
𦘪 #0002662a
\U00015ebb #00015ebb
𰋟 #000302df
\U00038439 #00038439
𗇈 #000171c8
